id,judul,foto,penerbit,isbn,tempat_terbit
,"Hak Asasi Manusia: Hakekat, konsep dan implikasintya dalam perspektif Hukum dan Masyarakat",,PT. Refika Aditama,979-3304-21-9,Bandung
,"Analisis Multivariant Terapan dengan Program SPSS, Amos dan Smart PLS",,UPP STIM YKPN,978-979-3532-96-7,Yogyakarta
,Akuntansi Sektor Publik,,UII Press,978-979-3333-98-4,Yogyakarta
,Penelitian Pendidikan Matematika,,Rafika aditama,978-602-7948-87-7,Bandung
,Kimia Analitik: analisis kualitatif dan pemisahan kimia,,Graha ilmu,978-602-262-339-7,Yogyakarta
,Renungan -renungan Zikir,,Intuisi Press,979-97464-3-4,Depok
,Ekonomika Otonomi Daerah,,UPP STIM YKPN,978-602-1286-39-5,Yogyakarta
,Sediaan dan Dosis Obat: panduan Penghitungan Dosis dan Dasar-dasar Pemberian Obat,,Erlangga,978-602-241-052-2,Jakarta
,Big Boook of Grammar,,Media,978-602-6992-18-5,Jakarta
,Audit Kontemporer,,Salemba Empat,978-979-061-585-4,Jakarta
,Perilaku Organisasi,,Salemba Empat,978-979-061-515-1,Jakarta
,"Kumpulan doa dan munajat : Asmaul Husna Yasin Fadhilah Ratib Alhadad, wardul Latif",,Hawra Publishers,979-97928-6-x,Jakarta
,Pintar kelola Keuangan,,Kobis,978-602-288-233-6,Yogyakarta
,Berkah CSR Bukan Fiksi,,Latofi,978-602-761-207-5,Jakarta
,Prosedur hukum Pengurusan Bea dan Cukai,,Pustaka Yustisia,978-979-341-134-7,Yogyakarta
,Pekawinan Beda Agama dan Penghayat kepercayaan di Indonesia pasca Putusan Mahkamah Konstitusi,,Nuansa aulia,978-979-071-247-8,Bandung
,The Sum is Greater Than The Parts: Melipat gandakan kemakmuran di Indonesia melalui integritas lokal dan global,,Gramedia Pustaka Utama,978-602-03-1059-6,Jakarta
,Budidaya dan pengolahan Kacang Kedelai Unggul,,Nuansa aulia,978-979-071-223-7,Bandung
,Pendidikan Kewarganegaraan untuk Perguruan Tinggi,,Pustaka Baru Press,978-602-376-190-6,Yogyakarta
,Menuju Ketangguhan Ekonomi: sumbang sara,,Kompas media nusantara,978-602-412-219-5,Jakarta
,Ib you could seeme now = Andai kau bisa melihatku,,Gramedia Pustaka Utama,978-602-03-1623-9,Jakarta
,Di Balik Krisis Ekosistem: pemikiran tentang Lingkungan Hidup dan Kehutanan,,LP3ES,978-602-7984-30-1,Jakarta
,Budi Luhur: sebuah autobiografi spiritual,,Yayasan Pendidikan Budi Luhur,978-602-70602-1-0,Jakarta
,Hukum dan Hak Asasi Manusia,,Kreasi total media,978-602-19602-8-8,Yogyakarta
,Teknik Pengolahan ATC dari Rumput Laut Euchenna Cottoraii,,Penebar swadaya,978-9979-002-668-1,Jakarta
,Sehat dan Hemat dengan Pengobatan Herbal,,Pelangi indonesia,978-602-98044-0-9,Yogyakarta
,Full Day School: Konsep manajemen dan Quality Control,,Ar-Ruzz Media,978-602-313-165-5,Yogyakarta
,Sosiologi hukum,,Jakarta,9798061292,Jakarta
,Bawang Dayak si Umbi Ajaib penakluk aneka penyakit,,Agromedia Pustaka,979-006-445-4,Jakarta
,Mangrove Investasi Dunia Akhirat,,Alinea Pertama Indonesia,978-602-97174-7-1,Bogor
,Ekonomi Syari'ah,,Pustaka Setia,978-979-076-196-4,Bandung
,Sediaan Solida,,Pustaka pelajar,978-602-229-218-0,Yogyakarta
,Kesalahan Berbahasa penggunaan EYD : Panduan lengkap Berbahasa yanh baik dan benar,,genta Smart Pubblisher,978-602-6991-46-1,solo
,Perdebatan Menuju Mahkamah Pidana Internasional = International Criminal Court,,papas sinar sinanti,978-979-9314-84-0,Depok
,Dop Apau Kayan: upaya menghadirkan negara di kawasan perbatasan,,Mulawarman Universty,978-692-6834-xx-x,Samarinda
,Pengantar manajemen keuangan : Teori dan Soal Jawab,,Alfabeta,978-602-9328-98-1,Bandung
,Pedoman Standar Pelayanan Medik dan Standar Prosedur Operasional Neurologi,,Refika Aditama.,978-602-7948-16-7,Bandung
,Perpajakan Indonesia : Mekanisme dan Perhitungan,,Andi,979-731-738-2,Yogyakarta
,Pasar Modal: mengenal nasabah sebgaia pencegahan pencucian uang,,Alfabeta,978-602-7825-95-6,Bandung
,Statistika Deskriptif untuk analisis ekonomi,,Bumi aksara,978-602-444-454-9,Jakarta
,Pendidikan Lingkungan: sekelumit wawasan pengantar,,Refika Aditama.,978-602-7948-01-3,Bandung
,Manajemen Pembangunanan Kabupaten dan Kota,,Refika Aditama.,978-602-7948-79-2,Bandung
,Sengketa Mazhab Hukum : SintesisBerbagi Mazhab dalam Pemikiran Hukum,,komas media Nusantara,978-602-412-362-8,Jakarta
,Strategi Pembelajaran,,Remaja Rosdakarya,978-979-692-143-0,Bandung
,Perkebangan Karet=studi kasus di Kutai Timur,,Mulawarman Universty,978-602-6834-34-8,Samarinda
,Brokoli : Teknik Budidaya dan Analisis Usaha,,Trans Idea Publishing,978-602-5687-16-7,Yogyakarta
,Keajaiban Air dalam Ilmu dan Kehidupan,,Alfabeta,978-602-289-039-3,Bandung
,Untung selangit dari Agribisnis Pala,,Andi,978-979-29-6754-8,Yogyakarta
,Statistika Inferensial,,Andi,978-979-29-6352-6,Yogyakarta
,Matematika realistik : Sebuah Upaya Membumikan Matematika di Sekolah,,leutika Prio,978-602-371-231-1,Yogyakarta
,Like a Rainbow,,Araska,978-602-7934-43-6,Yogyakarta
,Seribu Satu resep Obat Asli Indonesia,,Rumah Ilmu,978-602-1668-05-4,S.L
,"Hukum Perburuhan: konsepsi sejarah, dan jaminan konstitusional",,Setara Press,978-602-1642-69-6,Malang
,Strategi Pencegahan LGBT pada anak,,Gosyen publishing,978-602-1107-97-3,Yogyakarta
,Menikmati Aktivisme,,Diandra Keative,978-602-1638-61-3,Yogyakarta
,Kembalikan Mahakam : Memang Hak Kami,,Indonesian Reseurces Studies,978-602-71664-0-0,Jakarta
,Ekologi Konservasi Sumberdaya Hayati,,UM Purwokerto Press,978-602-61047-0-0,Purwokerto
,Periodontitis dan Risiko Penyakit Jantung Koroner,,IPB Press,978-979-493-474-6,Bogor
,Tumbuhan Kosmetik Tropis: tradional vs ilmiah,,Mulawarman Universty,978-602-6834-42-3,Samarinda
,Segitiga Penyakit Tanaman,,Universitas Mulawarn,978-602-6834-38-6,Samarinda
,Revolusi Konsumsi Pangan Alternatif untuk kerawanan dan ketahanan pangan,,Mulawarman Universty,978-602-6834-xx-x,Samarinda
,Buku Pedoman Guru,,Yrama Widya,978-602-374-109-0,Bandung
,"Manajemen Bisnis Ritel: teori, praktik dan Kasus Ritel",,Caps,978-602-9324-55-6,Yogyakarta
,Untung Berlipat dari budidaya Talas,,Hily Publisher,978-979-29-4785-4,Yogyakarta
,Pengantar Manajemen,,Gramedia Pustaka Utama,978-979-22-8134-7,Jakarta
,Psikologi Industri dan Organisasi,,Penerbit Universitas Indonesia,979-456-221-1,Jakarta
,Akuntansi keuangan Lanjutan,,Cahaya Atma Pustaka,978-7821-53-8,Yogyakarta
,Manajemen Perbankan; menuju bankir konvensional yang profesional,,Kencana,978-9413-80-9,Jakarta
,Etika Bisnis: mebangun kesuksesan bisnis melalui manajemen dan perilaku bisnis yang beretika,,Caps,978-602-9324-74-7,Yogyakarta
,Komunikasi antar Budaya : Panduan berkomunikasi dengan orang-orang berbeda budaya,,Remaja Rosdakarya,979-514-782-x,Bandung
,Ejaan Yang Disempurnakan= EYD terbaru permendiknas no. 46 Tahun 2009,,Rona Pancaran Ilmu,978-602-17254-6-7,Yogyakarta
,Implementasi Kebijakan Publik: konsep dan aplikasinya di Indonesia,,Gava Media,978-602-8545-87-7,Yogyakarta
,Materi Pokok Pengantar Pendidikan; 1-9; MKDK 4001,,Universitas Terbuka,979-011-037-5,Tangerang
,Parent Preneur 35 Trend Bisnis Menggiurkan Modal Mulai 2 Juta Omset Ratusan Juta,,Charissa publisher,978-602-1659-16-8,Yogyakarta
,Dasar-Dasar Statistik Pendidikan,,Pustaka Setia,978-979-076-229-9,Bandung
,Good Governance= kepemerintahan yang baik:mebangun sistem manajemen kinerja guna meningkatkan produktivitas....,,Mandar Maju,978-979-538-407-6,Bandung
,Electroplating :Teknik Pelapisan Logam dengan cara Listrik,,Yrama Widya,978-602-277-161-6,Bandung
,Administrasi Sekolah dan Manajemen Kelas: Strategi membangun Disiplin Kelas dan Suasana Edukatif di Sekolah,,Pustaka Setia,978-979-730-023-3,Bandung
,Alat Permainan Edukatif Media Stimulus anak jadi Aktif dan Krestif,,Kaaffah Learning center,978-602-5893-40-7,Pare- Pare
,Pengantar Geografi Regional,,Ombak,978-602-258-222-9,Yogyakarta
,Rezeki berkembang dari Budidaya Kerang,,Trans Idea Publishing,978-602-5687-12-9,Jogjakarta
,Cara tepat Budidaya Sidat,,Literindo,978-602-98198-3-0,Jogjakarta
,Teknik ternak kambing dengan pakan Fermentasi : Tanpa Ngarit dan Angon,,Literindo,978-602-98193-4-2,Jogjakarta
,Peluang Usaha Dari Budidaya Ikan Sepat,,Literindo,978-602-98198-4-7,Jogjakarta
,Manajemen risiko,,?,9.79E+12,Jakarta
,Semua bisa menjadi Programmer Python Basic,,Elex mediia komputindo,978-602-04-4989-0,Jakarta
,Manajer/Filsuf: mengelola bisnis dan dunia dengan sudut pandang filsafat,,Ledalero,978-602-1161-36-4,Maumere
,Membangun Masyarakat Memberdayakan Masyarakat: kajian strategis pembangunan kesejahteraan sosial dan pekerjaan sosial,,Refika Aditama.,979-3304-39-1,Bandung
,Manajemen Berbasis Sekolah di Daerah 3 T dan Perbatasan di Indonesia: kajian teoritis dan praktis dalam manajemen pendidikan,,Alfabeta,978-602-289-303-5,Bandung
,"Ayam Broiler, 22 Hari panen lebih Untung",,Penerbit swadaya,978-979-002-530-4,Jakarta
,Panduan Praktis menciptakan Foto Menarik,,Puspa Swara,979-9386-85-3,Jakarta
,Pendekatan Pembelajaran Saintifik Kurikulum 2013,,Gava Media,978-602-7869-60-8,Yogyakarta
,Manajemen Kepemimpinan Kepala Sekolah,,Bumi Aksara.,978-602-217-000-6,Jakarta
,Untung Selangit dari Agribisnis Kakao,,Lily publisher,978-979-29-5146-2,Yogyakarta
,Sosiologi suatu pengantar,,Rajawali Press,979-421-009-9,Jakarta
,Prezi : Solusi presentasi masa kini untuk pelajar Mahasiswa dan pebisnis,,Informaika,978-602-6232-12-0,Bandung
,Supervisi manajemen Risiko bank,,Gramedia Pustaka Utama,978-602-03-3389-3-7,Jakarta
,Ilmu Meracik Obat Untuk Apoteker,,D-Medika,978-602-7665-46-0,Jogjakarta
,Psikologi Komunikasi,,Remaja Rosdakarya,979-514-145-7,Bandung
,Sekuntum Nozomi,,Gramedia Pustaka Utama,978-979-22-2892-2,Jakarta
,Mengapa Para Artis dan Selebriti Memilih masuk islam = Mualaf,,Qivas,978-979-19635-9-6,Yogyakarta
,Politik Dalam Sejarah kerajaan jawa,,Araska,978-602-300-254-2,Yogyakarta
,Resiliensi Anak Usia Dini,,Alfabeta,978-602-289-132-1,Bandung
,Sistem politik Indonesia,,Reflika Aditama,978-602-8650-93-9,Bandung
,Matriks Persamaan Lenear dan Pemrograman Linear,,Rekayasa Sains,978-979-3784-72-4,Bandung
,Hukum Pidana Adat: gagasan pluralisme dalam hukum pidana dan penerapan hukum menurut keyakinan hukum,,Refika Aditama.,978-602-6322-00-0,Bandung
,Evaluasi Pembelajaran Matematika,,Rajawali Pers,978-979-769-575-0,Jakarta
,Komunikasi Pemasaran terpadu Pada Era Sosial,,Pustaka Setia,978-979-076-662-4,Bandung
,Penerapan Soft Computing dengan Matlab,,Rekayasa Sains,978-979-3784-52-1,Bandung
,Trik Menguasai PHP dan Jquery Berbasis Linux dan Windows,,Lokomedia,978-979-1758-94-9,Yogyakarta
,Sosek Malindo Kaltim Sabah : kerjasama Pembangunan Internasional Di Wilayah Perbatasan Negara,,Pustaka Radja,978-602-7567-53-5,Surabaya
,Sukses Berkebun Manggis,,Indoliterasi,978-602-1129-64-7,Yogyakarta
,Manajemen dan kepemimpinan Kepala Sekolah,,Ar Ruzz Media,978-602-7874-89-3,Yogyakarta
,Akuntansi : Informasi Dalam Pemgambilan Keputusan,,Grasindo,978-602-3752-42-3,Jakarta
,Alat Analisis Data : Aplikasi Statistik UntukPenelitian Bidang Ekonomi Dan Sosial,,Andi,978-979-29-2351-3,Yogyakarta
,Ekonomi Kreatif : Pembelajaran Berbasiskan Kewirausahaan Sosial dan Kewilayahan di kota Cimahi Jawa barat,,Penerbit Universitas Indonesia,978-979-456-492-9,Jakarta
,Menyongsong Nafas Terakhir dengan Senyum,,Kanisius,978-979-21-3938-9,Yogyakarta
,Learning Metaorphosis Hebat Gurunya Dahsyat Muridnya,,Erlangga,978-602-7596-01-6,Jakarta
,"Aneh tapi Ampuh: Ragam Obat tak LAzim di sekitar Kita, Ampuh Basmi Ragam Penyakit",,Flashbooks,978-602-255-308-3,Yogyakarta
,Manajemen Pemasaran dan Pemasaran Jasa,,Alfabeta,978-979-8433-01-7,Bandung
,Mutu Pelayanan Kesehatan dan Kebidanan,,Pustaka Baru Press,978-602-1674-67-3,Yogyakarta
,Dasar-dasar Agronomi,,Rajawali Press,979-421-160-5,Jakarta
,Sistem Hukum Indonesia,,Rajawali Press,979-3654-25-0,Jakarta
,Budidaya Tanaman Tebu,,Bumi Aksara.,979-526-284-4,Jakarta
,Metode Penelitian Kualitatif Manajemen,,Rajawali Press,978-979-769-538-5,Jakarta
,Hukum Administrasi Negara,,Rajawali Press,978-979-769-028-8,Jakarta
,citra pemerintah di era digital,,Gava Media,978-602-6948-79-3,Yogyakarta
,Undang -undang Agraria dan Aplikasinya,,Dunia Cerdas,978-602-7953-87-1,Jakarta
,Tutorial Lengkap Menguasai Arcgis 10,,Andi,978-979-29-6007-5,Yogyakarta
,Fingerprints : Madam Mae,,Grasindo,978-602-2511-31-1,Jakarta
,Pembentukan Oeraturan Perundang-undangan,,Indonesia Legal Center Publishing,978-979-1248-976,Jakarta
,Express Your English,,Laksana,978-602-7695-41-2,Jogjakarta
,Laporan Pertanggung jawaban Forum Rektor Indonesia 2014,,UNS Press,978-979-498-959-3,Surabaya
,Sains dan Teknologi : Berbagai Ide untuk menjawab tantangan dan kebutuhan,,Biro Hukum dan Humas Kemenristek RI,978-602-14900-1-3,Jakarta
,Buku Pintar Swamedikasi: tips penanganan dini masalah-masalah kesehatan,,Saufa,978-602-255-443-1,Yogyakarta
,Ngopi Dulu Yuk: Kumpulan Pemikiran Random dari Seorang Pengamat Amatir,,Abbie Gold Pubishing,978-602-18205-0-6,Tangerang
,Meta Kecerdasan dan Kesadaran Multikultural Pemikiran Psikologi Sufistik Al-Ghazali,,Rasail Media Group,978-979-1332-54-5,Semarang
,Undang-undang Republik Indonesia Nomor 25 tahun 2007 tentang Penanaman Modal,,Pustaka Yustisia,979-3418-77-x,Yogyakarta
,KAbar Gembira bagi Pendosa: syarah Do'a Nabi Khaidir A.S untuk Kemuliaan Dunia dan Akhirat,,Noura Books,978-602-9498-41-7,Jakarta
,Metodologi Penelitian Kualitatif,,Alfabeta,978-602-8361-31-6,Bandung
,Manajemen Sumber Daya Manusia dan Studi Kasus Perusahaan Lokal,,RV Pustaka Horison,978-602-74938-4-1,Samarinda
,Praktikum Auto Cad 2 D dan 3 D bagi Pemula,,Data Kom Lintas Benua,978-602-9089-27-1,Jakarta
,Meningkatkan Kemampuan Berkomunikasi Aktif pada Anak Usia Dini,,Luxima,978-602-268-062-8,Jakarta
,Goosembrums: gadis yang suka monster,,Gramedia Pustaka Utama,978-602-03-1943-8,Jakarta
,Memelihara Lele Dumbo di kolam Taman,,Penebar Sdayawa,979-489-121-5,Jakarta
,Kalkulus Diferensial= teori dan aplikasi,,Kencana,978-602-7985-09-4,Jakarta
,Statistika untuk penelitian,,?,9.79E+12,Bandung
,Prosedur Penelitian: suatu penekatan praktik,,Rineka Cipta,978-979-518-998-5,Jakarta
,SPSS untuk Penelitian,,Pustaka Baru Press,978-602-7819-07-3,Yogyakarta
,"Akuntansi Sektor Publik : Teori, Konsep, Aplikasi",,Pustaka Baru Press,978-602-1674-82-0,Yogyakarta
,Sistem Politik Indonesia: Kritik dan Solusi Sistem Politik Efektif,,Bumi Aksara.,978-602-217-812-5,Jakarta
,Implementasi Kurikulum Tingkat Satuan Pendidikan: kemadirian guru dan kepala sekolah,,Bumi aksara,978-979-010-470-9,Jakarta
,Undang-undang RI Nomor 36 tahun 2009 tentang kesehatan dan Peraturan Pemerintah RI No. 61 thn 2014 tentang...,,Permata Press,978-602-8228-54-1,S.L
,Manajemen: teori dan aplikasi,,Alfabeta,978-602-289-283-0,Bandung
,SIG: tutorial Arcgis untuk bidang geodesi dan geomatika...,,BI-OBSES,978-602-1514-66-5,Bandung
,Taksonomi Kognitif: perkembangan ragam berppikir,,Remaja Rosdakarya,978-979-692-079-2,Bandung
,"Ilmu Administrasi Negara: Kajian Konsep, Teori dan Fakta dalam upaya menciptakan Good Governance",,Pustaka Setia,978-979-076-068-4,Bandung
,Manajemen Sumberdaya Manusia,,Alfabeta,978-602-8800-36-5,Bandung
,Moralitas Hukum,,genta Publishing,978-602-1500-08-8,Yogyakarta
,Hukum Keperawatan : Panduan Hukum dan Etika Bagi perawat,,Pustaka book publiser,978-602-97178-0-8,Yogyakarta
,Komunikasi Antarbudaya : Strategi Membangun Komunikasi Harmoni pada Masyarakat Multikultural,,Pustka pelajar,978-602-229-792-5,Yogyakarta
,Bahagia SEkarang Menika Kemudian,,Elex mediia komputindo,978-602-04-4993-7,Jakarta
,Elementi di Grammatica Italiana dengan Uraian dan penjelasan dalan bahasa Indonesia,,Gramedia Pustaka Utama,978-979-22-7805-7,Jakarta
,Totem dan Taboo,,Immotal Publishing,978-602-6657-87-9,Yogyakarta
,Ilmu Meracik Obat : teori dan Praktik,,Gadjah Mada University Press,979-420-432-3,Yogyakarta
,Antologi Puisi Cinta,,RV Pustaka Horison,978-602-7463-2-9,Samarinda
,La tahzan For Women- Jangan bersedih nikmatilah hidupmu,,Al -Hamra Publishing,978-602-17096-5-8,Sukoharjo
,Keuangan Publik : Pendekatan Instrumen Kebijakan dalam Perspektif Islam,,Elex Media Komputindo,978-602-026-007-5,Jakarta
,Hama-hama Hutan : Jenis-Jenis hama penyerang tanaman hutan dan upaya pengendalian,,Intimedia.,978-602-1507-48-3,Malang
,Manajemen Pengetahuan : Teori dan Praktik,,Gadjah Mada University Press,979-420-834-5,Yogyakarta
,Hukum Penyelesaian SEngketa Lingkungan Hidup,,Kreasi total media,978-602-19609-1-2,Yogyakarta
,Teori Komunikasi,,Gava Media,978-602-7869-98-1,Yogyakarta
,Sweetest Grammar,,Laksana,978-602-407-193-6,Yogyakarta
,Laporan zakat pengurang Pajak Penghasilan,,Rajawali Press,979-769-048-2,Jakarta
,Analisis Obat,,Gadja Mada University Press,978=979-420-979-0,Yogyakarta
,Supervisi Pendidikan,,Gava Media,978-602-8545-32-7,Yogyakarta
,Membongkar Harta Daerah: analisis kebijakan anggaran pengelolaan Hutang dan Lahan di 3 Provinsi dan....,,Seknas Fitra The Asia Fodation,978-602-96350-5-8,Jakarta
,Penilaian Pembelajaran Matematika,,?,9.79E+12,Bandung
,Pengantar Akuntansi 2 Perusahaan Dagang,,Citra Aditya Bakti,978-979-491-095-5,Bandung
,"ANALISIS STRATEGI KONTEMPORER, konsep Teknik aplikasi",,?,9794117579,Jakarta
,Manajemen Pembiayaan Pendidikan,,Remaja Rosdakarya,978-979-692-623-7,Bandung
,Uji Kompetensi dan Penilaian Kinerja Guru,,Remaja Rosdakarya,978-979-692-142-3,Bandung
,manual lengkap malaria,,Gosyen publishing,978-602-1107-17-1,Yogyakarta
,Indonesia Negara Paripurna,,UM Purwokerto Press,978-602-14930-5-2,Purwokerto
,"Komunikasi Pemerintahan :Filosofi, Konsep dan Aplikasi",,Refika Aditama.,979-3304-35-9,Bandung
,Ekonomi Mikro vertagama,,RV Pustaka Horison,978-602-7493-2-7,Samarinda
,Hak Tanggungan sebagai Lembaga Jaminan Atas tanah,,Mandar Maju,978-979-538-458-8,Bandung
,Sosiologi Kesehatan : beberapa Konsep beserta Aplikasinya,,Gadja Mada University Press,978-979-420-258-6,Yogyakarta
,Rezeki bagus dari Budidaya Ikan Gabus,,zahara Pustaka,978-602-1624-26-5,Jogjakarta
,Hukum Tata Negara Indonesia dalam Perspektif Pancasila Pasca Reformasi,,Pustaka pelajar,978-602-229-104-6,Yogyakarta
,Mengintip Peluang Bisnis Budidaya Sayuran Organik,,Trans Idea Publishing,978-602-5687-13-6,Jogjakarta
,Dinamika Pengembangan Masyarakat Partisipatif,,Pustaka Pelejar,978-602-299-405-4,Yogyakarta
,Muslihat Kapitalis Global: selingkuh industri farmasi dengan perusahaan rokok AS,,Indonesia Berdikari,978-602-99292-2-5,Jakarta
,Hukum Lingkungan di Indonesia,,Rajawali Pers,978-979-769-868-3,Jakarta
,"Modul Pemrograman WEb=HTML,PHP,MySQL",,Modula,978-602-8759-22-9,Bandung
,Statistik Ekonomi: Aplikasi dengan Program SPSS versi 20,,Interpena,978-602-13330-12-8,Yogyakarta
,"Patial Least Squares: konsep, teknik dan aplikasi menggunakan program Smart PLS 3.0=untuk penelitian Empiris",,Badan Penerbitan Undip,979-704-300-2,Semarang
,Bimbingan Konseling Belajar=akademik,,Alfabeta,978-602-289-204-5,Bandung
,"Pengembangan Kurikulum: teori, catatan kritis, dan panduan",,Refika Aditama.,978-602-6322-43-2,Bandung
,Manajemen Keuangan:konsep dan peneraapannya,,Grasindo,978-602-575-953-8,Jakarta
,Manajemen Sumberdaya Manusia Strategik,,Andi,978-979-29-6862-0,Yogyakarta
,"Dianamika Perkembangan Anak dan Remaja: Tinjauan Psikologi Pendidikan, dan Bimbingan",,Refika Aditama.,978-602-7948-08-2,Bandung
,Otodidak Pemrograman javascript,,Elex mediia komputindo,978-602-04-2241-1,Jakarta
,Proyek Robotik Keren dengan Arduino,,Elex mediia komputindo,978-602-02-6919-1,Jakarta
,"Pemilu Perselihan hasil pemilu dan Demokrasi : membangun pemilu legislatif, presiden dan kepala daerah dan pemyelesaian",,Setara Press,978-602-17091-6-0,Malang
,Bahasa Ibu : pelestarian dan pesona sastra dan budayanya,,Unpad Press,978-602-3238-71-6,Sumedang
,Penenlitian Kualitatif:dasar-dasar,,Indeks,978-979-062-547-1,Jakarta
,Sintaksis= memahami kalimat tunggal,,Refika Aditama.,978-602-6322-42-5,Bandung
,Iktisar sastra Indonesia di kalimantan Timur,,kanor Bahasa Prov Kaltim Puat Bahasa,978-979-16282-7-3,Samarinda
,Metode Penelitian Sejarah,,Ombak,978-602-8335-93-2,Yogyakarta
,Sejarah Loa Kulu : Kejayaan dan keruntuhan kota tambang Kolonial di Tanah Kutai 1888-1970,,RV Pustaka Horison,978-602-61358-2-7,Samarinda
,Pengantar Ekonomi Mikro,,Salemba Empat,978-979-061-355-3,Jakarta
,Liberalisasi Ideologi Negara Pancasila,,Paradigma,978-979-8658-10-5,Yogyakarta
,Panduan Praktis Amnesti Pajak Indonesia,,Kompas media nusantara,978-602-412-130-3,Jakarta
,ajak Berganda tidak lagi: pedoman mudah dan praktis memahami Tax Treaty,,Andi,978-979-29-1785-7,Yogyakarta
,Freemasonry Di Indonesia : Jaringan Zionis tertua yang Mengendalikan Nusantara,,Untuk Press,978-602-7689-26-8,Jakarta
,Kepemimpinan,,Pustaka Setia,978-979-076-407-1,Bandung
,Mudah dan Praktis membuat Aneka Sirop Buah -Buahan,,Wahyu Media,979-795-534-2,Jakarta
,metode konstruksi Bendungan,,penerbt UI,978-979-456-152-3,Jakarta
,Hukum Sumber Daya Air,,Pustaka Pelejar,978-602-229-650-8,Yogyakarta
,Menghitung Pajak dengan Excel,,Mediakita,979-794-360-1,Jakarta
,metode penelitian Kuantitatif,,papas sinar sinanti,978-602-1374-23-7,Jakarta
,Instrumen perangkat Pembelajaran,,Remaja Rosdakarya,978-979-692-169-0,Bandung
,Ekonomi Islam dan Mekanisme Pasar = refleksi pemikiran ibnu Taymiyah,,LaksBang Pressindo,978-602-60257-8-4,Surabaya
,Komtrak Bisnis Internasional : Elemen-elemen penting dalam penyusunannya,,Sinar Grafika,978-979-007-432-7,Jakarta
,Komunikasi Lintas Budaya,,Remaja Rosdakarya,978-979-692-614-5,Bandung
,Manajemen strategi,,Reflika Aditama,978-602-7948-32-7,Bandung
,Strategi Pemasaran,,Andi,978-979-26-5349-7,Yogyakarta
,Manajemen sumber daya manusia,,Salemba Empat,978-979-061-533-5,Jakarta
,Biokimia Harper,,EGC,978-979-044-495-9,Jakarta
